type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1.0,7.78,0.23,0.46,0.91,0.05,9.43,71.93,0.99,2.94,0.49,11.31,6.01
1.0,6.68,0.23,0.31,2.08,0.05,29.96,97.37,0.99,3.33,0.64,10.66,7.99
1.0,7.42,0.24,0.3,10.19,0.05,20.63,104.3,1.0,3.13,0.35,9.5,4.99
1.0,7.1,0.18,0.34,1.26,0.04,31.32,89.34,0.99,3.26,0.37,12.67,6.97
1.0,6.97,0.32,0.34,1.34,0.04,20.53,69.85,0.99,3.31,0.66,11.98,7.0
1.0,7.43,0.18,0.3,8.73,0.06,25.85,103.21,1.0,2.94,0.57,9.35,4.98
1.0,6.7,0.54,0.28,5.27,0.06,21.18,104.79,0.99,3.28,0.37,9.04,5.04
1.0,6.83,0.22,0.31,1.37,0.05,33.81,115.28,0.99,3.39,0.76,10.6,5.97
1.0,7.12,0.2,0.34,15.9,0.05,50.75,166.97,1.0,3.21,0.6,9.22,5.98
1.0,7.2,0.34,0.21,6.04,0.06,47.77,165.32,0.99,3.17,0.42,9.91,5.01
1.0,7.35,0.22,0.3,8.19,0.05,42.26,203.35,1.0,3.33,0.46,9.46,6.01
1.0,7.15,0.43,0.61,11.7,0.04,53.74,154.26,1.0,3.11,0.45,8.66,4.99
1.0,7.11,0.44,0.62,11.93,0.04,51.57,150.37,1.0,3.12,0.46,8.7,6.01
1.0,7.22,0.39,0.63,11.18,0.05,55.0,155.55,1.0,3.09,0.44,8.73,6.0
1.0,6.8,0.25,0.3,13.4,0.05,69.35,202.14,1.0,3.22,0.48,9.69,6.02
1.0,7.06,0.43,0.61,11.83,0.05,54.4,154.56,1.0,3.11,0.45,8.68,5.03
1.0,7.12,0.44,0.62,11.88,0.04,54.07,152.76,1.0,3.12,0.46,8.69,6.0
1.0,7.22,0.39,0.63,10.88,0.04,55.65,154.16,1.0,3.09,0.44,8.69,6.02
1.0,6.9,0.24,0.33,1.64,0.04,46.94,135.27,0.99,3.26,0.4,12.61,6.97
1.0,6.91,0.21,0.33,1.81,0.03,48.14,136.23,0.99,3.25,0.41,12.57,6.99
1.0,7.52,0.23,0.32,1.67,0.04,51.27,147.32,0.99,3.21,0.44,11.5,6.98
1.0,7.1,0.26,0.3,12.4,0.04,61.8,239.8,1.0,3.04,0.42,9.26,6.01
1.0,6.0,0.34,0.67,15.84,0.05,25.75,141.93,1.0,3.14,0.5,8.76,6.02
1.0,8.59,0.26,0.36,1.2,0.03,15.36,78.74,0.99,2.95,0.37,11.41,6.99
1.0,9.8,0.36,0.46,10.39,0.04,3.77,82.76,1.0,2.89,0.3,10.1,3.98
1.0,6.03,0.34,0.66,15.8,0.05,26.38,163.88,1.0,3.14,0.5,8.79,5.96
1.0,7.29,0.25,0.37,13.57,0.06,51.5,191.5,1.0,3.0,0.44,9.1,5.01
1.0,7.07,0.12,0.32,9.83,0.05,63.94,162.68,1.0,3.4,0.41,9.44,4.99
1.0,5.92,0.21,0.24,12.01,0.05,54.83,164.37,1.0,3.34,0.39,9.4,4.99
1.0,7.52,0.31,0.4,18.81,0.06,43.95,170.15,1.0,2.99,0.46,9.0,5.01
1.0,7.37,0.25,0.37,13.45,0.06,52.36,189.41,1.0,3.0,0.44,9.1,5.0
1.0,6.87,0.13,0.32,14.51,0.05,34.53,109.84,1.0,3.2,0.35,9.65,6.02
1.0,7.1,0.12,0.32,7.17,0.05,64.19,162.39,1.0,3.4,0.41,9.4,5.03
1.0,7.06,0.23,0.35,16.36,0.04,60.16,181.16,1.0,3.15,0.59,9.08,6.04
1.0,7.12,0.23,0.38,16.4,0.04,59.98,172.46,1.0,3.16,0.59,9.13,6.0
1.0,6.89,0.33,0.28,1.29,0.05,37.46,187.48,0.99,3.27,0.59,10.34,5.02
1.0,6.5,0.24,0.54,8.53,0.08,64.58,162.84,1.0,2.89,0.39,8.77,5.98
1.0,7.2,0.27,0.46,18.83,0.05,45.33,176.92,1.0,3.03,0.52,8.85,4.99
1.0,7.21,0.31,0.5,13.32,0.05,68.5,196.52,1.0,3.01,0.47,9.18,5.0
1.0,6.68,0.41,0.34,9.14,0.05,28.28,151.53,1.0,3.22,0.51,9.1,5.01
1.0,6.71,0.41,0.34,9.32,0.05,28.93,150.27,1.0,3.22,0.5,9.07,4.99
1.0,5.48,0.48,-0.0,1.43,0.06,7.99,102.09,0.99,3.63,0.4,9.71,3.99
1.0,5.96,0.31,0.24,3.35,0.04,24.85,144.03,0.99,3.31,0.45,11.3,6.02
1.0,6.99,0.14,0.4,1.67,0.03,15.93,85.45,0.99,3.19,0.42,11.84,6.0
1.0,7.24,0.31,0.5,13.26,0.06,68.7,195.38,1.0,3.0,0.47,9.16,4.99
1.0,5.86,0.36,0.04,5.53,0.05,21.37,87.32,0.99,3.22,0.51,10.2,5.03
1.0,7.79,0.24,0.32,12.34,0.05,41.65,137.14,1.0,3.01,0.54,8.81,4.99
1.0,7.39,0.16,0.31,5.49,0.06,30.89,129.93,1.0,3.29,0.34,9.66,4.99
1.0,6.92,0.19,0.28,5.06,0.06,13.66,145.5,1.0,3.29,0.36,9.12,5.99
1.0,6.42,0.13,0.47,1.39,0.09,39.88,158.38,0.99,3.22,0.36,9.81,6.01
1.0,6.71,0.19,0.36,0.97,0.03,62.86,144.65,0.99,3.27,0.48,10.98,6.0
1.0,7.35,0.39,0.24,7.04,0.03,29.7,124.43,0.99,3.14,0.42,10.51,5.02
1.0,6.47,0.24,0.32,7.66,0.04,48.09,200.95,1.0,3.21,0.54,9.7,7.0
1.0,6.06,0.3,0.39,2.85,0.04,47.19,181.05,0.99,3.3,0.57,10.88,7.0
1.0,6.07,0.3,0.56,2.88,0.05,45.65,185.09,0.99,3.31,0.57,10.89,6.02
1.0,5.71,0.26,0.25,10.51,0.02,7.02,55.36,0.99,3.39,0.37,10.6,5.01
1.0,6.51,0.23,0.32,7.53,0.04,47.55,202.4,1.0,3.45,0.53,9.71,6.98
1.0,6.48,0.43,0.4,13.06,0.04,59.0,240.02,1.0,3.23,0.58,9.01,5.01
1.0,6.61,0.24,0.27,15.88,0.03,46.08,188.32,1.0,3.24,0.51,9.19,4.99
1.0,6.8,0.27,0.22,8.11,0.03,54.93,202.32,1.0,3.19,0.52,8.93,5.0
1.0,6.66,0.27,0.31,15.67,0.03,44.07,176.99,1.0,3.12,0.56,9.62,5.01
1.0,8.2,0.23,0.41,1.33,0.03,36.26,121.46,0.99,3.12,0.47,11.59,5.99
1.0,7.14,0.37,0.67,10.46,0.05,48.52,154.65,1.0,3.16,0.44,8.72,4.99
1.0,6.78,0.19,0.36,1.7,0.03,26.27,95.81,0.99,3.15,0.54,10.79,6.99
1.0,8.12,0.28,0.39,1.9,0.03,17.75,77.82,0.99,3.23,0.52,11.79,5.97
1.0,6.3,0.31,0.34,2.09,0.05,19.72,79.07,0.99,3.3,0.43,10.21,4.98
1.0,7.1,0.37,0.67,10.34,0.04,49.24,156.23,1.0,3.16,0.44,8.71,5.01
1.0,7.95,0.21,0.4,1.3,0.04,38.12,106.94,0.99,3.2,0.54,11.13,6.01
1.0,8.5,0.21,0.42,4.26,0.04,24.08,100.56,0.99,3.18,0.53,9.66,5.99
1.0,8.07,0.22,0.4,2.03,0.04,19.59,87.07,0.99,3.12,0.55,11.18,5.99
1.0,6.32,0.25,0.37,1.12,0.04,36.41,113.5,0.99,3.33,0.39,10.89,6.01
1.0,5.56,0.28,0.27,1.45,0.04,52.91,166.99,0.99,3.28,0.44,10.09,5.99
1.0,6.43,0.6,0.14,5.36,0.06,15.36,98.37,0.99,3.38,0.36,9.0,3.99
1.0,6.28,0.34,0.33,4.61,0.03,19.41,80.81,0.99,3.38,0.58,12.0,7.0
1.0,6.93,0.25,0.3,4.11,0.05,22.98,116.96,0.99,2.99,0.38,9.44,6.03
1.0,7.85,0.22,0.38,8.26,0.04,46.35,152.84,0.99,3.12,0.32,11.54,6.97
1.0,7.61,0.18,0.46,10.14,0.05,58.54,134.31,1.0,3.15,0.43,9.87,6.0
1.0,6.94,0.25,0.3,4.12,0.05,23.39,110.78,0.99,2.99,0.38,9.4,6.0
1.0,7.21,0.18,0.41,1.31,0.05,40.23,94.55,0.99,3.14,0.45,10.4,5.02
0.8,8.2,0.23,0.4,7.52,0.05,12.25,75.52,1.0,3.06,0.84,9.72,6.01
1.0,7.44,0.24,0.42,14.06,0.07,47.64,195.72,1.0,2.91,0.42,8.91,5.99
1.0,7.4,0.24,0.42,13.94,0.07,48.76,197.79,1.0,2.89,0.42,8.97,6.0
1.0,6.14,0.32,0.24,1.33,0.04,37.95,122.14,0.99,3.29,0.42,12.43,7.0
1.0,5.21,0.44,0.05,1.62,0.04,43.14,118.88,0.99,3.36,0.33,12.13,8.02
1.0,5.19,0.44,0.04,1.43,0.04,43.03,119.08,0.99,3.36,0.33,12.09,8.0
1.0,6.13,0.32,0.24,1.49,0.04,37.62,125.82,0.99,3.29,0.42,12.4,6.99
1.0,6.32,0.22,0.56,14.46,0.06,27.22,159.08,1.0,2.98,0.4,9.09,4.98
1.0,6.28,0.36,0.3,4.85,0.05,14.07,83.37,0.99,3.28,0.39,10.62,5.0
1.0,7.42,0.24,0.42,14.16,0.06,47.49,198.64,1.0,2.89,0.42,8.94,6.01
1.0,6.65,0.24,0.35,13.12,0.05,63.62,204.39,1.0,3.15,0.5,9.52,5.01
1.0,7.01,0.23,0.36,13.04,0.05,72.01,176.79,1.0,3.15,0.49,9.6,5.0
1.0,8.38,0.27,0.46,8.68,0.05,38.89,197.26,1.0,3.14,0.59,9.59,6.0
1.0,6.66,0.23,0.18,2.4,0.03,24.93,98.5,0.99,3.08,0.44,12.57,6.99
1.0,7.55,0.29,0.32,9.07,0.05,20.14,151.42,1.0,3.08,0.54,9.29,4.99
1.0,9.79,0.42,0.48,9.74,0.03,4.76,112.7,1.0,2.87,0.29,9.97,5.01
1.0,7.07,0.3,0.46,1.56,0.07,28.5,132.7,0.99,3.12,0.54,12.66,6.01
1.0,7.9,0.19,0.46,1.62,0.05,17.06,97.54,0.99,3.13,0.39,10.99,6.01
1.0,7.6,0.48,0.37,0.74,0.04,4.05,99.64,0.99,3.03,0.39,11.41,4.0
1.0,6.26,0.22,0.43,4.54,0.04,31.25,130.95,0.99,3.35,0.33,11.51,7.01
1.0,6.9,0.26,0.4,7.51,0.04,50.25,150.34,0.99,3.11,0.27,11.4,5.98
1.0,7.18,0.32,0.47,5.09,0.04,18.82,64.79,0.99,3.03,0.41,12.62,3.97
1.0,5.93,0.23,0.24,12.85,0.05,56.96,171.95,1.0,3.28,0.39,9.36,5.0
1.0,6.02,0.67,0.25,0.96,0.06,9.23,106.86,0.99,3.11,0.36,8.71,4.02
1.0,6.38,0.25,0.32,5.45,0.05,40.79,176.21,1.0,3.19,0.68,9.22,5.99
1.0,6.4,0.27,0.31,5.52,0.05,42.02,173.02,1.0,3.17,0.66,9.31,5.99
1.0,6.78,0.28,0.4,21.9,0.05,48.14,164.22,1.0,2.94,0.5,8.69,4.96
1.0,6.89,0.27,0.39,14.04,0.05,63.75,226.2,1.0,3.18,0.58,9.63,6.03
1.0,6.82,0.25,0.56,12.02,0.04,64.69,225.21,1.0,3.02,0.63,9.32,5.0
1.0,6.82,0.29,0.56,12.03,0.04,66.21,229.99,1.0,3.02,0.63,9.28,4.99
1.0,7.12,0.24,0.41,9.49,0.04,48.84,166.56,1.0,3.12,0.61,9.92,6.02
1.0,5.94,0.3,0.23,4.21,0.04,41.91,117.6,0.99,3.16,0.5,10.96,5.0
1.0,6.81,0.53,0.35,3.68,0.03,25.99,111.76,0.99,3.25,0.57,12.7,8.02
1.0,6.51,0.27,0.28,8.66,0.05,53.99,209.06,1.0,3.09,0.54,8.92,3.95
1.0,6.58,0.28,0.27,8.62,0.05,54.93,211.41,1.0,3.09,0.55,8.91,6.02
1.0,6.82,0.28,0.38,22.07,0.05,47.88,165.63,1.0,2.93,0.47,8.73,4.98
1.0,6.83,0.28,0.36,8.04,0.05,31.03,121.93,0.99,3.02,0.37,11.38,6.01
1.0,6.62,0.15,0.34,5.03,0.06,33.39,124.63,0.99,3.36,0.44,9.61,4.99
1.0,6.4,0.29,0.44,3.48,0.2,74.66,180.14,0.99,3.02,0.41,9.11,5.01
1.0,6.39,0.3,0.45,3.61,0.2,76.08,178.89,0.99,3.02,0.39,9.1,6.03
1.0,6.39,0.29,0.44,3.7,0.2,75.05,182.24,0.99,3.01,0.38,9.15,4.96
1.0,6.82,0.26,0.24,8.16,0.05,53.83,213.56,1.0,3.13,0.47,8.9,4.95
1.0,6.8,0.26,0.24,7.84,0.05,53.09,214.86,1.0,3.13,0.47,8.89,5.01
1.0,6.77,0.27,0.26,16.09,0.05,55.27,195.78,1.0,3.15,0.5,9.25,5.02
1.0,7.07,0.33,0.24,13.06,0.05,51.78,203.4,1.0,3.1,0.49,8.82,4.99
1.0,6.9,0.29,0.32,13.24,0.05,53.12,237.94,1.0,3.15,0.49,9.59,4.99
1.0,6.82,0.26,0.34,13.79,0.03,38.07,133.94,0.99,3.33,0.53,12.01,6.0
1.0,5.73,0.28,0.35,2.32,0.05,36.32,114.27,0.99,3.29,0.51,10.16,4.0
1.0,6.39,0.21,0.5,11.58,0.04,45.2,153.02,1.0,3.15,0.43,8.8,5.0
1.0,6.95,0.22,0.32,8.4,0.04,38.04,126.09,1.0,3.21,0.34,9.2,4.99
1.0,10.23,0.44,0.88,6.25,0.05,19.84,126.14,1.0,2.99,0.51,9.95,4.0
1.0,7.16,0.19,0.29,2.26,0.04,14.95,77.03,0.99,3.32,0.74,10.2,5.0
1.0,6.07,0.4,0.31,0.86,0.05,23.19,170.9,0.99,3.22,0.77,9.5,6.0
1.0,6.78,0.24,0.25,9.75,0.03,12.06,67.99,0.99,3.31,0.34,10.52,4.99
1.0,6.83,0.18,0.38,1.42,0.04,35.2,111.14,0.99,3.32,0.59,11.2,7.01
1.0,7.01,0.17,0.32,8.27,0.06,37.78,126.66,1.0,3.21,0.34,9.21,5.0
1.0,6.71,0.12,0.29,5.3,0.05,30.7,122.85,0.99,3.44,0.37,9.7,6.0
1.0,6.18,0.25,0.25,1.26,0.03,35.0,105.87,0.99,3.3,0.44,11.06,7.0
1.0,5.79,0.26,0.25,9.13,0.04,55.29,151.18,1.0,3.31,0.39,9.37,4.98
1.0,7.49,0.27,0.36,6.97,0.04,44.75,162.7,0.99,3.03,0.33,10.99,4.98
1.0,5.78,0.26,0.24,9.25,0.04,54.84,150.8,1.0,3.31,0.38,9.38,4.99
1.0,6.52,0.28,0.24,17.41,0.04,59.65,167.82,1.0,3.31,0.44,9.41,5.0
1.0,7.51,0.23,0.36,7.06,0.03,43.05,161.33,0.99,3.04,0.32,10.98,4.98
1.0,7.46,0.28,0.36,6.86,0.04,45.03,165.64,0.99,3.03,0.33,11.0,4.98
1.0,7.2,0.69,0.21,9.55,0.07,33.17,171.01,1.0,3.0,0.55,9.11,6.02
1.0,6.56,0.25,0.25,1.59,0.03,35.23,115.36,0.99,3.3,0.44,11.09,7.03
1.0,6.47,0.19,0.3,0.87,0.04,33.31,143.67,0.99,3.42,0.39,9.09,5.99
1.0,6.3,0.5,0.22,1.78,0.05,30.59,139.97,0.99,3.39,0.54,10.4,5.99
1.0,7.1,0.24,0.41,17.8,0.05,38.91,146.61,1.0,3.32,0.39,8.66,4.96
1.0,6.4,0.18,0.32,5.69,0.05,40.46,199.54,0.99,3.5,0.5,9.68,5.97
1.0,7.11,0.25,0.32,10.32,0.04,65.67,271.19,1.0,3.17,0.52,9.12,6.02
1.0,6.38,0.17,0.32,2.47,0.05,40.53,198.54,0.99,3.5,0.5,9.73,6.02
1.0,7.14,0.23,0.41,17.94,0.05,38.87,143.85,1.0,3.24,0.39,8.68,4.99
1.0,6.79,0.64,0.25,9.74,0.06,25.96,143.0,1.0,3.37,0.46,8.85,4.01
1.0,8.28,0.28,0.4,7.59,0.04,38.16,193.41,1.0,3.34,0.51,9.58,6.0
1.0,8.21,0.28,0.39,7.83,0.04,48.98,209.21,1.0,3.32,0.51,9.76,6.02
1.0,7.2,0.23,0.38,14.24,0.06,54.89,194.15,1.0,3.05,0.44,9.0,5.98
1.0,7.23,0.23,0.38,14.42,0.06,55.08,194.44,1.0,3.1,0.44,9.02,5.99
1.0,7.19,0.23,0.38,14.28,0.06,55.3,192.41,1.0,3.09,0.44,9.01,5.96
1.0,7.24,0.23,0.38,14.23,0.06,54.95,193.17,1.0,3.09,0.44,8.99,5.99
1.0,6.81,0.52,0.32,13.22,0.04,53.91,220.04,1.0,3.27,0.5,9.61,5.97
1.0,6.99,0.26,0.59,1.31,0.04,39.81,120.58,0.99,3.34,0.41,11.14,6.99
1.0,6.18,0.26,0.21,15.5,0.04,28.23,160.47,1.0,3.48,0.64,9.61,5.99
1.0,7.28,0.32,0.23,13.61,0.05,48.48,195.77,1.0,3.2,0.46,8.72,5.01
1.0,7.73,0.31,0.26,7.7,0.03,23.56,90.59,0.99,3.13,0.5,10.41,4.98
1.0,7.04,0.21,0.38,2.25,0.03,23.65,99.74,0.99,3.15,0.38,11.41,7.02
1.0,6.83,0.24,0.33,2.81,0.05,64.52,218.03,0.99,3.3,0.58,9.73,6.02
1.0,7.08,0.41,0.56,11.21,0.04,51.01,143.02,1.0,3.14,0.46,8.68,5.01
1.0,6.09,0.18,0.36,2.08,0.04,20.03,250.58,0.99,3.37,0.79,11.34,5.99
1.0,6.8,0.21,0.27,2.14,0.03,26.72,139.03,0.99,3.16,0.61,12.6,6.97
1.0,5.85,0.2,0.27,1.37,0.03,11.81,77.78,0.99,3.25,0.36,10.86,6.98
1.0,5.59,0.19,0.26,1.31,0.03,11.59,77.16,0.99,3.28,0.37,10.94,7.01
1.0,6.1,0.41,0.14,10.32,0.04,17.77,118.93,1.0,3.38,0.45,9.99,5.02
1.0,5.95,0.21,0.32,4.73,0.05,50.24,199.53,1.0,3.73,0.7,9.97,3.99
1.0,8.49,0.26,0.21,14.22,0.07,40.91,196.35,1.0,3.02,0.5,9.82,3.03
1.0,6.9,0.4,0.56,11.12,0.04,40.33,141.84,1.0,3.14,0.46,8.65,5.01
1.0,5.79,0.24,0.44,3.53,0.03,5.44,110.68,0.99,3.53,0.43,11.71,3.01
1.0,5.73,0.24,0.39,1.7,0.05,37.54,157.06,0.99,3.21,0.52,9.28,6.0
1.0,6.33,0.35,0.3,5.76,0.03,8.43,97.93,0.99,3.27,0.41,11.02,6.99
1.0,6.32,0.35,0.3,5.69,0.04,8.51,98.99,0.99,3.27,0.41,11.01,6.98
1.0,6.42,0.23,0.39,1.88,0.03,22.32,117.17,0.99,3.33,0.5,11.81,5.96
1.0,5.8,0.36,0.37,0.84,0.04,3.0,75.71,0.99,3.28,0.34,11.37,4.01
1.0,6.9,0.11,0.35,5.34,0.05,36.24,107.31,0.99,3.33,0.48,10.24,6.02
1.0,6.9,0.29,0.4,19.39,0.04,35.52,155.41,1.0,2.93,0.47,8.86,5.01
1.0,6.89,0.28,0.4,8.24,0.04,15.54,93.06,0.99,3.17,0.33,10.21,5.0
1.0,7.19,0.29,0.4,13.68,0.04,66.5,231.84,1.0,3.08,0.59,9.61,6.02
1.0,6.21,0.24,0.35,1.35,0.04,22.92,168.07,0.99,3.1,0.48,10.55,5.99
1.0,6.87,0.29,0.39,19.64,0.04,36.05,156.18,1.0,2.93,0.47,8.91,5.01
1.0,6.86,0.32,0.26,5.9,0.05,32.37,178.7,1.0,3.25,0.51,9.21,6.0
1.0,5.28,0.58,0.07,6.88,0.04,34.03,147.99,0.99,3.34,0.57,9.71,5.01
1.0,5.27,0.49,0.07,6.9,0.04,34.17,146.05,0.99,3.34,0.57,9.66,5.99
1.0,5.38,0.6,0.07,7.03,0.05,35.67,147.09,0.99,3.34,0.57,9.7,6.01
1.0,6.94,0.32,0.26,8.41,0.05,32.37,179.82,1.0,3.25,0.51,9.16,6.01
1.0,5.11,0.6,0.07,7.1,0.04,32.95,147.6,0.99,3.33,0.58,9.7,5.02
1.0,5.78,0.25,0.26,13.09,0.04,44.13,147.92,1.0,3.29,0.38,9.3,5.01
