type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,cluster,pc1,pc2
1.0,7.0,0.28,0.39,8.65,0.05,31.81,141.04,1.0,3.38,0.52,10.5,6.01,0,0.6179805097007706,0.6206833028142347
1.0,7.35,0.27,0.48,1.12,0.05,17.15,130.42,0.99,3.19,0.48,11.63,6.02,2,0.44931038059277056,-1.3069915523459723
1.0,7.18,0.32,0.35,2.22,0.03,37.37,112.71,0.99,3.1,0.71,12.31,7.0,2,0.40642508882847866,-1.3709263877000741
1.0,8.48,0.24,0.39,10.57,0.04,20.58,142.02,1.0,3.2,0.53,10.03,5.99,0,0.5961894208454301,1.319643907147685
1.0,8.32,0.14,0.34,1.07,0.04,7.18,47.23,0.99,3.47,0.4,10.21,5.99,2,-0.4426478306643053,-1.6786759725027083
1.0,7.38,0.25,0.36,1.6,0.05,30.76,101.23,0.99,3.19,0.44,10.84,6.01,2,0.5557585005552014,-1.1130943217422788
1.0,6.15,0.12,0.35,1.61,0.06,43.47,117.88,0.99,3.3,0.68,8.96,6.03,2,0.8169653941406323,-0.32445150600192313
1.0,7.26,0.29,0.43,1.57,0.08,21.21,123.36,0.99,3.19,0.42,12.81,5.0,2,0.26211952083615464,-1.6388302319925903
1.0,6.09,0.39,0.24,5.46,0.05,44.95,149.51,0.99,3.25,0.56,9.93,5.01,2,0.9566941709959591,-0.4744221409143705
1.0,7.01,0.24,0.32,1.11,0.05,37.82,138.48,0.99,3.13,0.28,11.13,6.0,2,1.3690044579404355,-1.273117879590282
1.0,7.29,0.24,0.39,17.3,0.06,44.85,151.7,1.0,3.21,0.36,8.62,4.99,0,1.9054591921371675,2.4761631847516576
1.0,7.34,0.24,0.39,17.9,0.06,45.05,150.5,1.0,3.22,0.36,8.61,5.02,0,1.9109900781059195,2.526019271945841
1.0,6.74,0.23,0.39,2.47,0.17,62.88,157.15,0.99,3.11,0.36,9.41,6.01,0,1.0924898372431036,0.9168812439087427
1.0,6.72,0.25,0.39,2.99,0.17,62.86,157.03,0.99,3.09,0.34,9.39,6.0,0,1.1410842220015354,0.9773917242103677
1.0,6.99,0.31,0.26,7.27,0.07,28.09,157.77,1.0,3.13,0.46,9.77,5.98,0,0.6773764308730461,1.0566408633212385
1.0,6.6,0.24,0.27,1.51,0.06,33.22,151.8,0.99,3.23,0.46,9.52,5.98,2,0.9288611875703662,-0.6412134315404843
1.0,6.68,0.23,0.26,1.37,0.06,32.52,154.41,0.99,3.24,0.56,9.5,6.0,2,0.7230348900681058,-0.5661959833299984
1.0,7.4,0.17,0.31,1.47,0.06,37.54,166.82,0.99,3.16,0.53,9.99,7.02,2,1.0900722281713457,-0.3772990194138889
1.0,6.21,0.44,0.26,4.24,0.06,63.08,205.39,0.99,3.27,0.52,9.79,4.01,2,1.5088922524755484,-0.04634582458171183
1.0,7.04,0.47,0.25,4.32,0.07,62.08,207.53,0.99,3.25,0.52,9.81,4.98,2,1.210170081961513,0.22214345821180534
1.0,6.95,0.31,0.26,5.83,0.07,27.17,160.61,1.0,3.13,0.46,9.77,6.04,0,0.6117028474290195,0.9280742641747173
1.0,6.92,0.19,0.35,4.92,0.07,31.97,150.66,0.99,3.37,0.48,9.84,5.0,2,0.8960711305180458,-0.42150428002427
1.0,7.19,0.19,0.31,1.62,0.06,30.72,173.19,0.99,3.35,0.44,10.76,6.0,2,0.9372735564083315,-1.089899745254551
1.0,6.58,0.25,0.29,1.14,0.07,38.7,123.18,0.99,3.34,0.58,10.99,7.0,2,0.3263048980842821,-1.235627842934264
1.0,6.84,0.16,0.33,1.22,0.06,20.88,81.87,0.99,3.32,0.46,10.89,7.01,2,0.20104119019910507,-1.5979279578068524
1.0,6.42,0.18,0.35,0.96,0.04,39.3,106.85,0.99,3.31,0.35,10.92,6.0,2,1.1748850488858564,-1.6397810143160227
1.0,6.76,0.2,0.59,0.85,0.15,37.95,130.29,0.99,3.13,0.38,9.07,5.99,2,0.6742185176468265,0.6824598420499255
1.0,6.87,0.25,0.35,1.37,0.04,29.05,192.67,0.99,3.23,0.52,10.99,5.99,2,1.1542925613546333,-1.0702771580841033
1.0,7.19,0.21,0.34,11.87,0.04,36.81,213.87,1.0,3.09,0.5,9.6,5.98,0,1.981669609009795,1.7836999007628787
1.0,5.99,0.19,0.26,12.51,0.05,49.3,145.44,1.0,3.3,0.36,8.91,6.0,0,1.917026137400629,1.3141726876393407
1.0,6.59,0.38,0.15,4.72,0.04,20.46,76.19,0.99,3.11,0.38,10.26,6.0,2,0.3354289587044144,-1.273115293156657
1.0,7.38,0.2,0.37,1.32,0.04,44.35,111.17,0.99,3.37,0.35,9.93,5.99,2,1.061314702701938,-0.9782387020977225
1.0,6.81,0.21,0.24,4.94,0.09,29.66,122.72,1.0,3.03,0.46,8.62,6.0,0,0.5406179434591588,1.4022329881890838
1.0,5.97,0.19,0.26,12.41,0.05,49.52,146.78,1.0,3.3,0.36,8.88,6.01,0,1.9304672838926715,1.3207213416048313
1.0,7.02,0.47,0.07,1.13,0.04,16.58,152.81,0.99,3.02,0.35,10.54,5.01,2,0.4377252490258517,-1.36721376533431
1.0,6.6,0.38,0.15,4.61,0.04,25.44,77.67,0.99,3.11,0.38,10.2,6.0,2,0.43678035949208865,-1.1974215060659688
1.0,7.16,0.24,0.27,1.46,0.04,23.54,121.64,0.99,3.15,0.46,10.28,5.99,2,0.6534191442198051,-1.0911363285369131
1.0,6.18,0.35,0.03,1.26,0.06,29.31,119.92,0.99,3.22,0.54,9.07,4.98,2,0.11192466829393594,-0.9484366943952713
1.0,6.43,0.26,0.24,6.41,0.04,26.97,125.99,0.99,3.22,0.49,12.64,6.94,2,0.892190662706226,-1.834342654175128
1.0,6.71,0.25,0.13,1.22,0.04,81.04,174.55,0.99,3.13,0.42,9.8,5.01,2,2.204930442736069,-0.4219973305056339
1.0,6.72,0.23,0.31,2.19,0.05,29.43,97.1,0.99,3.33,0.64,10.73,8.04,2,0.118050693683963,-1.2655421353223513
1.0,7.37,0.25,0.29,10.08,0.05,21.14,106.6,1.0,3.13,0.35,9.48,5.01,0,0.7851642886742909,1.0091451001275233
1.0,6.82,0.27,0.43,7.83,0.06,51.93,244.49,1.0,3.11,0.51,8.96,6.01,0,2.1063797186122875,2.1793542829677732
1.0,6.77,0.3,0.23,4.55,0.06,50.65,238.5,1.0,3.33,0.6,9.5,5.0,0,1.191621868803232,1.1629153986194949
1.0,5.99,0.27,0.28,4.98,0.06,31.08,200.52,1.0,3.7,0.71,10.01,5.01,0,0.1575841052773111,0.1726893083462123
1.0,7.78,0.23,0.46,0.91,0.05,9.43,71.93,0.99,2.94,0.49,11.31,6.01,2,0.12991805479786706,-1.1024076670849374
1.0,6.68,0.23,0.31,2.08,0.05,29.96,97.37,0.99,3.33,0.64,10.66,7.99,2,0.13403007662935212,-1.248330698531654
1.0,7.42,0.24,0.3,10.19,0.05,20.63,104.3,1.0,3.13,0.35,9.5,4.99,0,0.7844201492663705,1.0186249533705443
1.0,7.1,0.18,0.34,1.26,0.04,31.32,89.34,0.99,3.26,0.37,12.67,6.97,2,0.7443505059311275,-2.2557162476917734
1.0,6.97,0.32,0.34,1.34,0.04,20.53,69.85,0.99,3.31,0.66,11.98,7.0,2,-0.48010833666239977,-1.9384249795266468
1.0,7.43,0.18,0.3,8.73,0.06,25.85,103.21,1.0,2.94,0.57,9.35,4.98,0,0.6550893305635733,1.5108880471577844
1.0,6.7,0.54,0.28,5.27,0.06,21.18,104.79,0.99,3.28,0.37,9.04,5.04,2,0.0039026438325160946,-0.4402612126982236
1.0,6.83,0.22,0.31,1.37,0.05,33.81,115.28,0.99,3.39,0.76,10.6,5.97,2,-0.0028357538247418355,-1.119342267047616
1.0,7.12,0.2,0.34,15.9,0.05,50.75,166.97,1.0,3.21,0.6,9.22,5.98,0,1.7503346679200105,2.2536286208236596
1.0,7.2,0.34,0.21,6.04,0.06,47.77,165.32,0.99,3.17,0.42,9.91,5.01,2,1.3007619744624128,-0.10418469334835508
1.0,7.35,0.22,0.3,8.19,0.05,42.26,203.35,1.0,3.33,0.46,9.46,6.01,0,1.4378074309394373,1.2665785657613755
1.0,7.15,0.43,0.61,11.7,0.04,53.74,154.26,1.0,3.11,0.45,8.66,4.99,0,1.7151491670069954,2.50353733773693
1.0,7.11,0.44,0.62,11.93,0.04,51.57,150.37,1.0,3.12,0.46,8.7,6.01,0,1.6192864440205026,2.4751151811052505
1.0,7.22,0.39,0.63,11.18,0.05,55.0,155.55,1.0,3.09,0.44,8.73,6.0,0,1.7686022893235949,2.5732463870964164
1.0,6.8,0.25,0.3,13.4,0.05,69.35,202.14,1.0,3.22,0.48,9.69,6.02,0,2.3613560961515976,1.945942952570425
1.0,7.06,0.43,0.61,11.83,0.05,54.4,154.56,1.0,3.11,0.45,8.68,5.03,0,1.6692300108830214,2.5711079452795125
1.0,7.12,0.44,0.62,11.88,0.04,54.07,152.76,1.0,3.12,0.46,8.69,6.0,0,1.6810601518812467,2.5122191243357936
1.0,7.22,0.39,0.63,10.88,0.04,55.65,154.16,1.0,3.09,0.44,8.69,6.02,0,1.8411354106178428,2.4906734510647124
1.0,6.9,0.24,0.33,1.64,0.04,46.94,135.27,0.99,3.26,0.4,12.61,6.97,2,1.2485973736271256,-1.8830676530859216
1.0,6.91,0.21,0.33,1.81,0.03,48.14,136.23,0.99,3.25,0.41,12.57,6.99,2,1.4306807566972302,-1.8979771188400323
1.0,7.52,0.23,0.32,1.67,0.04,51.27,147.32,0.99,3.21,0.44,11.5,6.98,2,1.32409009078875,-1.129366681684478
1.0,7.1,0.26,0.3,12.4,0.04,61.8,239.8,1.0,3.04,0.42,9.26,6.01,0,2.7792880282782275,2.254162059264802
1.0,6.0,0.34,0.67,15.84,0.05,25.75,141.93,1.0,3.14,0.5,8.76,6.02,0,1.5566613328862589,2.361411599823245
1.0,8.59,0.26,0.36,1.2,0.03,15.36,78.74,0.99,2.95,0.37,11.41,6.99,2,0.38426690371215255,-1.2668118449801524
1.0,9.8,0.36,0.46,10.39,0.04,3.77,82.76,1.0,2.89,0.3,10.1,3.98,0,0.16543759193314764,1.4993020098304302
1.0,6.03,0.34,0.66,15.8,0.05,26.38,163.88,1.0,3.14,0.5,8.79,5.96,0,1.712573140344645,2.4211217856956266
1.0,7.29,0.25,0.37,13.57,0.06,51.5,191.5,1.0,3.0,0.44,9.1,5.01,0,2.174483488724719,2.4969982538136826
1.0,7.07,0.12,0.32,9.83,0.05,63.94,162.68,1.0,3.4,0.41,9.44,4.99,0,1.9525634942759686,1.3043542442769245
1.0,5.92,0.21,0.24,12.01,0.05,54.83,164.37,1.0,3.34,0.39,9.4,4.99,0,1.9734421988167048,1.1382660044353556
1.0,7.52,0.31,0.4,18.81,0.06,43.95,170.15,1.0,2.99,0.46,9.0,5.01,0,1.974377764249629,2.961469509099695
1.0,7.37,0.25,0.37,13.45,0.06,52.36,189.41,1.0,3.0,0.44,9.1,5.0,0,2.1538055148066033,2.505935846548714
1.0,6.87,0.13,0.32,14.51,0.05,34.53,109.84,1.0,3.2,0.35,9.65,6.02,0,1.6047567961945932,1.2734835454398004
1.0,7.1,0.12,0.32,7.17,0.05,64.19,162.39,1.0,3.4,0.41,9.4,5.03,0,1.809132154253473,1.1067122429917313
1.0,7.06,0.23,0.35,16.36,0.04,60.16,181.16,1.0,3.15,0.59,9.08,6.04,0,2.1948337605282617,2.502091732973374
1.0,7.12,0.23,0.38,16.4,0.04,59.98,172.46,1.0,3.16,0.59,9.13,6.0,0,2.1305246745245094,2.4962228215506475
1.0,6.89,0.33,0.28,1.29,0.05,37.46,187.48,0.99,3.27,0.59,10.34,5.02,2,0.7862254823442592,-0.7256472111949418
1.0,6.5,0.24,0.54,8.53,0.08,64.58,162.84,1.0,2.89,0.39,8.77,5.98,0,2.3368722020499875,2.571752838337967
1.0,7.2,0.27,0.46,18.83,0.05,45.33,176.92,1.0,3.03,0.52,8.85,4.99,0,2.181027589894975,2.9949704130635455
1.0,7.21,0.31,0.5,13.32,0.05,68.5,196.52,1.0,3.01,0.47,9.18,5.0,0,2.538283855021206,2.7716958075004983
1.0,6.68,0.41,0.34,9.14,0.05,28.28,151.53,1.0,3.22,0.51,9.1,5.01,0,0.629074295719823,1.323230016079697
1.0,6.71,0.41,0.34,9.32,0.05,28.93,150.27,1.0,3.22,0.5,9.07,4.99,0,0.6558854903353658,1.3502676910182054
1.0,5.48,0.48,-0.0,1.43,0.06,7.99,102.09,0.99,3.63,0.4,9.71,3.99,2,-0.8323057202542365,-2.286019572183435
1.0,5.96,0.31,0.24,3.35,0.04,24.85,144.03,0.99,3.31,0.45,11.3,6.02,2,0.8049970784705917,-1.743680666988435
1.0,6.99,0.14,0.4,1.67,0.03,15.93,85.45,0.99,3.19,0.42,11.84,6.0,2,0.6916451970054385,-1.9552033810931801
1.0,7.24,0.31,0.5,13.26,0.06,68.7,195.38,1.0,3.0,0.47,9.16,4.99,0,2.4520029569794057,2.867970608320291
1.0,5.86,0.36,0.04,5.53,0.05,21.37,87.32,0.99,3.22,0.51,10.2,5.03,2,0.1096760498281599,-1.4007435476265706
1.0,7.79,0.24,0.32,12.34,0.05,41.65,137.14,1.0,3.01,0.54,8.81,4.99,0,1.2898714812238332,2.249459434830046
1.0,7.39,0.16,0.31,5.49,0.06,30.89,129.93,1.0,3.29,0.34,9.66,4.99,0,0.8530411637835863,0.605330784115058
1.0,6.92,0.19,0.28,5.06,0.06,13.66,145.5,1.0,3.29,0.36,9.12,5.99,0,0.5849231427177336,0.5416904173874055
1.0,6.42,0.13,0.47,1.39,0.09,39.88,158.38,0.99,3.22,0.36,9.81,6.01,2,1.4881016233681765,-0.30916603976678114
1.0,6.71,0.19,0.36,0.97,0.03,62.86,144.65,0.99,3.27,0.48,10.98,6.0,2,1.7242136643189219,-1.1067618991288053
1.0,7.35,0.39,0.24,7.04,0.03,29.7,124.43,0.99,3.14,0.42,10.51,5.02,2,0.8653898192367637,-0.6969965282262626
1.0,6.47,0.24,0.32,7.66,0.04,48.09,200.95,1.0,3.21,0.54,9.7,7.0,0,1.7207073684726177,1.1780171814697593
1.0,6.06,0.3,0.39,2.85,0.04,47.19,181.05,0.99,3.3,0.57,10.88,7.0,2,1.4087711471834679,-0.89159515163799
1.0,6.07,0.3,0.56,2.88,0.05,45.65,185.09,0.99,3.31,0.57,10.89,6.02,2,1.4564596077809346,-0.5851409343450579
1.0,5.71,0.26,0.25,10.51,0.02,7.02,55.36,0.99,3.39,0.37,10.6,5.01,2,0.5998441619779249,-1.745015761338138
1.0,6.51,0.23,0.32,7.53,0.04,47.55,202.4,1.0,3.45,0.53,9.71,6.98,0,1.4626674592931606,0.8510055608055556
1.0,6.48,0.43,0.4,13.06,0.04,59.0,240.02,1.0,3.23,0.58,9.01,5.01,0,2.0725816903166994,2.3489842513058288
1.0,6.61,0.24,0.27,15.88,0.03,46.08,188.32,1.0,3.24,0.51,9.19,4.99,0,2.073972448521951,1.8202417354703935
1.0,6.8,0.27,0.22,8.11,0.03,54.93,202.32,1.0,3.19,0.52,8.93,5.0,0,1.836693249152019,1.471823452635992
1.0,6.66,0.27,0.31,15.67,0.03,44.07,176.99,1.0,3.12,0.56,9.62,5.01,0,1.9359126964658515,1.845053633245934
1.0,8.2,0.23,0.41,1.33,0.03,36.26,121.46,0.99,3.12,0.47,11.59,5.99,2,0.9003475426360229,-1.1038206524281546
1.0,7.14,0.37,0.67,10.46,0.05,48.52,154.65,1.0,3.16,0.44,8.72,4.99,0,1.608923384468751,2.389244367755237
1.0,6.78,0.19,0.36,1.7,0.03,26.27,95.81,0.99,3.15,0.54,10.79,6.99,2,0.7118698544678594,-1.3082739462690198
1.0,8.12,0.28,0.39,1.9,0.03,17.75,77.82,0.99,3.23,0.52,11.79,5.97,2,-0.09065039523490566,-1.613023179450868
1.0,6.3,0.31,0.34,2.09,0.05,19.72,79.07,0.99,3.3,0.43,10.21,4.98,2,0.17175674361380608,-1.40260870829689
1.0,7.1,0.37,0.67,10.34,0.04,49.24,156.23,1.0,3.16,0.44,8.71,5.01,0,1.721289349670555,2.312155786557768
1.0,7.95,0.21,0.4,1.3,0.04,38.12,106.94,0.99,3.2,0.54,11.13,6.01,2,0.6109666688611216,-0.988576276168506
1.0,8.5,0.21,0.42,4.26,0.04,24.08,100.56,0.99,3.18,0.53,9.66,5.99,2,0.43527847595935143,-0.15819136429980693
1.0,8.07,0.22,0.4,2.03,0.04,19.59,87.07,0.99,3.12,0.55,11.18,5.99,2,0.17258830357592062,-1.0753012013356738
1.0,6.32,0.25,0.37,1.12,0.04,36.41,113.5,0.99,3.33,0.39,10.89,6.01,2,0.9600737253643726,-1.5815687461567014
1.0,5.56,0.28,0.27,1.45,0.04,52.91,166.99,0.99,3.28,0.44,10.09,5.99,2,1.6718254790459008,-1.054797939301339
1.0,6.43,0.6,0.14,5.36,0.06,15.36,98.37,0.99,3.38,0.36,9.0,3.99,2,-0.44845540386266447,-0.8787514926295068
1.0,6.28,0.34,0.33,4.61,0.03,19.41,80.81,0.99,3.38,0.58,12.0,7.0,2,-0.01096687487920588,-2.0402934037513116
1.0,6.93,0.25,0.3,4.11,0.05,22.98,116.96,0.99,2.99,0.38,9.44,6.03,2,1.0744844783813654,-0.34700322876747375
1.0,7.85,0.22,0.38,8.26,0.04,46.35,152.84,0.99,3.12,0.32,11.54,6.97,2,1.9611250468025965,-0.4690252984250881
1.0,7.61,0.18,0.46,10.14,0.05,58.54,134.31,1.0,3.15,0.43,9.87,6.0,0,1.7857675012985759,1.6744576763559371
1.0,6.94,0.25,0.3,4.12,0.05,23.39,110.78,0.99,2.99,0.38,9.4,6.0,2,1.036669091454415,-0.3450218814179433
1.0,7.21,0.18,0.41,1.31,0.05,40.23,94.55,0.99,3.14,0.45,10.4,5.02,2,0.9560354030121078,-0.7946601497695118
0.8,8.2,0.23,0.4,7.52,0.05,12.25,75.52,1.0,3.06,0.84,9.72,6.01,0,-0.8495120782397765,1.400329227939392
1.0,7.44,0.24,0.42,14.06,0.07,47.64,195.72,1.0,2.91,0.42,8.91,5.99,0,2.2557374969467445,2.8619024074540076
1.0,7.4,0.24,0.42,13.94,0.07,48.76,197.79,1.0,2.89,0.42,8.97,6.0,0,2.3164251080777842,2.8640008929168808
1.0,6.14,0.32,0.24,1.33,0.04,37.95,122.14,0.99,3.29,0.42,12.43,7.0,2,0.7884412178595065,-2.264495840945177
1.0,5.21,0.44,0.05,1.62,0.04,43.14,118.88,0.99,3.36,0.33,12.13,8.02,2,0.7331273065002298,-2.6795283647791903
1.0,5.19,0.44,0.04,1.43,0.04,43.03,119.08,0.99,3.36,0.33,12.09,8.0,2,0.7186911957694512,-2.69838133624848
1.0,6.13,0.32,0.24,1.49,0.04,37.62,125.82,0.99,3.29,0.42,12.4,6.99,2,0.8201838291614032,-2.2318772226179564
1.0,6.32,0.22,0.56,14.46,0.06,27.22,159.08,1.0,2.98,0.4,9.09,4.98,0,2.030678506124882,2.249917981653017
1.0,6.28,0.36,0.3,4.85,0.05,14.07,83.37,0.99,3.28,0.39,10.62,5.0,2,0.1898798624456574,-1.4400776358612364
1.0,7.42,0.24,0.42,14.16,0.06,47.49,198.64,1.0,2.89,0.42,8.94,6.01,0,2.391480196092245,2.812244366204421
1.0,6.65,0.24,0.35,13.12,0.05,63.62,204.39,1.0,3.15,0.5,9.52,5.01,0,2.3946242085215466,2.082570998764995
1.0,7.01,0.23,0.36,13.04,0.05,72.01,176.79,1.0,3.15,0.49,9.6,5.0,0,2.328103387233139,2.1160639675058146
1.0,8.38,0.27,0.46,8.68,0.05,38.89,197.26,1.0,3.14,0.59,9.59,6.0,0,1.1531693147067446,2.024674981942364
1.0,6.66,0.23,0.18,2.4,0.03,24.93,98.5,0.99,3.08,0.44,12.57,6.99,2,0.75489595313701,-2.246977603631218
1.0,7.55,0.29,0.32,9.07,0.05,20.14,151.42,1.0,3.08,0.54,9.29,4.99,0,0.6456381389783096,1.477404936957331
1.0,9.79,0.42,0.48,9.74,0.03,4.76,112.7,1.0,2.87,0.29,9.97,5.01,0,0.3880453327830985,1.5992016311171773
1.0,7.07,0.3,0.46,1.56,0.07,28.5,132.7,0.99,3.12,0.54,12.66,6.01,2,0.4561745419400471,-1.3399109740826647
1.0,7.9,0.19,0.46,1.62,0.05,17.06,97.54,0.99,3.13,0.39,10.99,6.01,2,0.5409519447546912,-1.064295863176327
1.0,7.6,0.48,0.37,0.74,0.04,4.05,99.64,0.99,3.03,0.39,11.41,4.0,2,-0.2043701121681304,-1.4878379978979779
1.0,6.26,0.22,0.43,4.54,0.04,31.25,130.95,0.99,3.35,0.33,11.51,7.01,2,1.3738112027961449,-1.5569618445996753
1.0,6.9,0.26,0.4,7.51,0.04,50.25,150.34,0.99,3.11,0.27,11.4,5.98,2,2.2050515859079356,-0.6347323393443
1.0,7.18,0.32,0.47,5.09,0.04,18.82,64.79,0.99,3.03,0.41,12.62,3.97,2,0.5103998886860863,-1.5551086437264114
1.0,5.93,0.23,0.24,12.85,0.05,56.96,171.95,1.0,3.28,0.39,9.36,5.0,0,2.1412068138170635,1.3591463356124325
1.0,6.02,0.67,0.25,0.96,0.06,9.23,106.86,0.99,3.11,0.36,8.71,4.02,2,-0.3913563257286556,-0.7246369818780655
1.0,6.38,0.25,0.32,5.45,0.05,40.79,176.21,1.0,3.19,0.68,9.22,5.99,0,0.959506181059415,1.2353619858459193
1.0,6.4,0.27,0.31,5.52,0.05,42.02,173.02,1.0,3.17,0.66,9.31,5.99,0,0.9669611353848527,1.2106877549566992
1.0,6.78,0.28,0.4,21.9,0.05,48.14,164.22,1.0,2.94,0.5,8.69,4.96,0,2.4631662292620975,3.2260938773401318
1.0,6.89,0.27,0.39,14.04,0.05,63.75,226.2,1.0,3.18,0.58,9.63,6.03,0,2.336895445715024,2.3445032616684824
1.0,6.82,0.25,0.56,12.02,0.04,64.69,225.21,1.0,3.02,0.63,9.32,5.0,0,2.6305956498958847,2.706357499001559
1.0,6.82,0.29,0.56,12.03,0.04,66.21,229.99,1.0,3.02,0.63,9.28,4.99,0,2.6089498361388723,2.769089096056159
1.0,7.12,0.24,0.41,9.49,0.04,48.84,166.56,1.0,3.12,0.61,9.92,6.02,0,1.4978195141239623,1.5767936262888274
1.0,5.94,0.3,0.23,4.21,0.04,41.91,117.6,0.99,3.16,0.5,10.96,5.0,2,1.0966117956682335,-1.2282994212618112
1.0,6.81,0.53,0.35,3.68,0.03,25.99,111.76,0.99,3.25,0.57,12.7,8.02,2,-0.05301754793218402,-1.8622873424674262
1.0,6.51,0.27,0.28,8.66,0.05,53.99,209.06,1.0,3.09,0.54,8.92,3.95,0,1.9158173025107987,1.8579806785438646
1.0,6.58,0.28,0.27,8.62,0.05,54.93,211.41,1.0,3.09,0.55,8.91,6.02,0,1.886183019045365,1.889645818013516
1.0,6.82,0.28,0.38,22.07,0.05,47.88,165.63,1.0,2.93,0.47,8.73,4.98,0,2.520447396419523,3.1915736689367873
1.0,6.83,0.28,0.36,8.04,0.05,31.03,121.93,0.99,3.02,0.37,11.38,6.01,2,1.4184047392641819,-0.6718593985617688
1.0,6.62,0.15,0.34,5.03,0.06,33.39,124.63,0.99,3.36,0.44,9.61,4.99,2,1.0552535302889738,-0.5851217276364654
1.0,6.4,0.29,0.44,3.48,0.2,74.66,180.14,0.99,3.02,0.41,9.11,5.01,0,1.2852296782229453,1.7357105723983859
1.0,6.39,0.3,0.45,3.61,0.2,76.08,178.89,0.99,3.02,0.39,9.1,6.03,0,1.337457276485274,1.7588614075413687
